sample_index,scene_id,mode,collision_probability,ego_step_mean,ego_step_max,ego_endpoint_disp,adv_step_mean,adv_step_max,adv_endpoint_disp
0,/mnt/e/Project/datasets/trajectories/case3_filtered_top10/data.hdf5:scene-0707_ego_0_ctrl_[3]_0,real,,0.8114668130874634,1.0667719841003418,40.828338623046875,1.275180697441101,1.516690969467163,63.51826095581055
0,/mnt/e/Project/datasets/trajectories/case3_filtered_top10/data.hdf5:scene-0707_ego_0_ctrl_[3]_0,preservation_v2_stepclip10,0.2261490672826767,2.1307265758514404,2.9771671295166016,103.84619140625,1.8958847522735596,2.977642059326172,93.3086929321289
1,/mnt/e/Project/datasets/trajectories/case3_StrivePolicy_trajdata/data.hdf5:scene-0989_ego_0_ctrl_[2]_0,real,,1.0419225692749023,1.0667259693145752,48.967071533203125,0.09547673165798187,0.5729171633720398,4.612658500671387
1,/mnt/e/Project/datasets/trajectories/case3_StrivePolicy_trajdata/data.hdf5:scene-0989_ego_0_ctrl_[2]_0,preservation_v2_stepclip10,0.0830962136387825,1.0933678150177002,1.6540461778640747,52.94963455200195,0.8644142746925354,1.681971549987793,40.38740921020508
2,/mnt/e/Project/datasets/trajectories/case4_p9_StrivePolicy_trajdata/data.hdf5:scene-0911_ego_0_ctrl_[21]_0,real,,1.042110562324524,1.066778540611267,52.13009262084961,0.03536037355661392,0.0354403555393219,1.7680219411849976
2,/mnt/e/Project/datasets/trajectories/case4_p9_StrivePolicy_trajdata/data.hdf5:scene-0911_ego_0_ctrl_[21]_0,preservation_v2_stepclip10,0.1730559766292572,1.9464772939682007,2.3623909950256348,96.03313446044922,0.4072027802467346,0.8830455541610718,18.75986099243164
3,/mnt/e/Project/datasets/trajectories/case2_StrivePolicy_trajdata/data.hdf5:scene-0969_ego_0_ctrl_[7]_0,real,,0.0,0.0,0.0,0.388826847076416,0.7999183535575867,19.18685531616211
3,/mnt/e/Project/datasets/trajectories/case2_StrivePolicy_trajdata/data.hdf5:scene-0969_ego_0_ctrl_[7]_0,preservation_v2_stepclip10,0.5874452590942383,0.6450412273406982,3.7191195487976074,26.64334487915039,0.5183550715446472,0.9598638415336609,23.06001853942871
4,/mnt/e/Project/datasets/trajectories/case5_StrivePolicy_trajdata/data-002.hdf5:scene-0805_ego_0_ctrl_[16]_0,real,,0.7977580428123474,1.0668450593948364,39.941307067871094,0.8334487676620483,0.833518385887146,41.67243194580078
4,/mnt/e/Project/datasets/trajectories/case5_StrivePolicy_trajdata/data-002.hdf5:scene-0805_ego_0_ctrl_[16]_0,preservation_v2_stepclip10,0.1484466940164566,0.6314651370048523,0.843259334564209,30.944883346557617,0.5117771625518799,0.7053079605102539,25.196531295776367
